City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hilo,19.7297,-155.09,22.57,91,100,1.34,US,1682168523
83,north bend,43.4065,-124.2243,10.6,99,100,0.0,US,1682168523
84,tura,25.5198,90.2201,25.21,44,26,1.11,IN,1682168524
85,butaritari,3.0707,172.7902,27.76,78,100,4.32,KI,1682168524
86,thinadhoo,0.5333,72.9333,29.51,69,93,1.5,MV,1682168525
87,pitimbu,-7.4706,-34.8086,30.33,60,18,7.24,BR,1682168526
88,sosnogorsk,63.6023,53.8817,1.76,99,100,3.15,RU,1682168526
89,mantua,45.1667,10.7833,22.83,62,100,0.45,IT,1682168527
90,college,64.8569,-147.8028,0.97,81,100,5.66,US,1682168527
91,guerrero negro,27.9769,-114.0611,14.27,85,0,4.16,MX,1682168528
92,harper,4.375,-7.7169,30.54,67,52,5.2,LR,1682168529
93,qaanaaq,77.484,-69.3632,-7.84,81,100,2.09,GL,1682168529
94,portland,45.5234,-122.6762,10.85,94,100,0.89,US,1682168530
95,saint-augustin,51.226,-58.6502,6.59,72,34,6.86,CA,1682168530
96,te anau,-45.4167,167.7167,11.68,89,98,1.78,NZ,1682168531
97,codrington,-38.2667,141.9667,13.89,91,29,1.12,AU,1682168532
98,cap malheureux,-19.9842,57.6142,28.04,73,12,1.34,MU,1682168532
99,khatanga,71.9667,102.5,-15.24,95,6,3.22,RU,1682168533
100,kaitangata,-46.2817,169.8464,13.85,85,100,3.41,NZ,1682168533
101,clyde river,70.4692,-68.5914,-5.48,80,93,1.3,CA,1682168534
102,cidreira,-30.1811,-50.2056,21.23,61,73,2.01,BR,1682168534
103,henties bay,-22.116,14.2845,19.29,70,100,3.55,NA,1682168535
104,tautira,-17.7333,-149.15,27.68,82,100,7.65,PF,1682168536
105,souillac,-20.5167,57.5167,28.21,74,40,2.57,MU,1682168537
106,cockburn town,21.4612,-71.1419,24.63,70,0,2.6,TC,1682168537
107,gisborne,-38.6533,178.0042,17.65,93,100,2.35,NZ,1682168274
108,karpokhorion,39.3333,22.0167,17.79,69,100,2.95,GR,1682168538
109,la sarre,48.8002,-79.1996,2.65,94,100,2.2,CA,1682168539
110,gadwal,16.2333,77.8,37.5,18,15,2.88,IN,1682168541
111,clinton,42.587,-82.9199,9.18,85,100,2.24,US,1682168541
112,tucupita,9.0622,-62.051,27.36,76,94,1.36,VE,1682168542
113,chokurdakh,70.6333,147.9167,-13.05,99,71,1.22,RU,1682168543
114,pyapon,16.2833,95.6833,30.57,61,13,5.34,MM,1682168544
115,maymyo,22.0333,96.4667,25.19,41,99,1.63,MM,1682168544
116,margate,51.3813,1.3862,14.06,75,86,2.24,GB,1682168545
117,dukat,62.55,155.55,-14.87,100,70,0.76,RU,1682168545
118,shimoda,34.6667,138.95,12.28,85,100,4.91,JP,1682168414
119,carndonagh,55.25,-7.2667,10.79,49,100,4.76,IE,1682168547
120,vardo,70.3705,31.1107,-4.01,86,100,9.77,NO,1682168547
121,kutum,14.2,24.6667,36.14,6,4,6.23,SD,1682168548
122,trairi,-3.2778,-39.2689,28.83,64,14,5.61,BR,1682168548
123,krasnoselkup,65.7,82.4667,1.17,100,100,6.54,RU,1682168549
124,soyo,-6.1349,12.3689,28.66,69,100,3.22,AO,1682168549
125,ugoofaaru,5.6667,73.0,29.47,68,38,3.06,MV,1682168550
126,coihueco,-36.6167,-71.8333,13.36,64,43,1.21,CL,1682168551
127,bartica,6.4,-58.6167,27.39,81,99,0.99,GY,1682168551
128,elat,29.5581,34.9482,28.85,22,100,6.65,IL,1682168552
129,nouadhibou,20.931,-17.0347,24.99,53,0,6.17,MR,1682168553
130,itupiranga,-5.1347,-49.3267,28.58,74,100,1.59,BR,1682168553
131,gola gokarannath,28.0833,80.4667,32.07,11,10,3.51,IN,1682168554
132,mehriz,31.5917,54.4318,21.12,37,70,5.33,IR,1682168554
133,talnakh,69.4865,88.3972,1.23,94,100,8.62,RU,1682168555
134,east london,-33.0153,27.9116,23.13,37,100,8.14,ZA,1682168555
135,saint-philippe,-21.3585,55.7679,28.77,77,52,3.58,RE,1682168556
136,cayenne,4.9333,-52.3333,26.02,89,75,1.03,GF,1682168556
137,manadhoo,5.7667,73.3833,29.44,69,40,3.19,MV,1682168557
138,vao,-22.6667,167.4833,25.65,79,3,5.16,NC,1682168558
139,jamestown,42.097,-79.2353,12.8,93,75,3.6,US,1682168538
140,bima,-8.4667,118.7167,23.7,92,65,1.58,ID,1682168559
141,qaqortoq,60.7167,-46.0333,2.81,57,11,0.83,GL,1682168559
142,waddan,29.1614,16.139,33.85,7,87,3.19,LY,1682168560
143,malko tarnovo,41.9833,27.5333,12.77,67,100,3.22,BG,1682168560
144,port lincoln,-34.7333,135.8667,16.8,85,0,3.86,AU,1682168561
145,suarez,2.954,-76.6964,19.51,97,100,0.43,CO,1682168561
146,lebyazhye,55.2689,66.4947,10.66,68,100,5.93,RU,1682168562
147,wahiawa,21.5028,-158.0236,22.09,87,0,1.72,US,1682168562
148,san vicente,-26.6167,-54.1333,19.06,51,0,1.88,AR,1682168563
149,sitka,57.0531,-135.33,5.18,96,100,2.5,US,1682168564
150,cherskiy,68.75,161.3,-8.27,98,51,1.41,RU,1682168564
151,lazaro cardenas,17.9583,-102.2,25.02,77,100,0.64,MX,1682168436
152,longyearbyen,78.2186,15.6401,-13.09,66,20,3.09,SJ,1682168566
153,gerede,40.8008,32.1969,9.88,51,70,4.08,TR,1682168567
154,cheney,47.4874,-117.5758,1.19,89,0,1.54,US,1682168567
155,shigony,53.3875,48.6777,9.35,84,100,5.31,RU,1682168568
156,ayan,56.45,138.1667,-0.48,91,100,3.04,RU,1682168569
157,kirkland lake,48.1446,-80.0377,3.82,94,100,2.0,CA,1682168570
158,bethel,41.3712,-73.414,11.95,89,100,1.34,US,1682168527
159,cape town,-33.9258,18.4232,15.21,80,100,10.29,ZA,1682168418
160,san cristobal,7.7669,-72.225,21.64,86,100,1.62,VE,1682168571
161,ribeirao das neves,-19.7669,-44.0867,22.01,65,52,4.59,BR,1682168572
162,vannes,47.8333,-2.5,14.34,69,100,7.79,FR,1682168572
163,vila velha,-20.3297,-40.2925,23.3,86,100,1.79,BR,1682168573
164,itoman,26.1247,127.6694,23.01,88,75,6.69,JP,1682168573
165,natchez,31.5604,-91.4032,13.12,71,0,2.06,US,1682168574
166,airai,-8.9266,125.4092,15.19,93,70,1.47,TL,1682168574
167,tasiilaq,65.6145,-37.6368,-2.11,72,39,1.96,GL,1682168575
168,barcelos,41.5388,-8.6151,18.29,60,8,4.86,PT,1682168575
169,olafsvik,64.8945,-23.7142,2.69,65,18,3.43,IS,1682168576
170,kupang,-10.1667,123.5833,27.32,78,20,7.2,ID,1682168358
171,umm kaddadah,13.6017,26.6876,40.43,5,0,4.62,SD,1682168577
172,luderitz,-26.6481,15.1594,19.65,51,100,4.59,NA,1682168577
173,port elizabeth,-33.918,25.5701,19.06,54,100,0.89,ZA,1682168417
174,faanui,-16.4833,-151.75,27.77,79,100,7.1,PF,1682168578
175,chiang rai,19.9167,99.9167,30.88,59,87,1.94,TH,1682168462
176,vaitape,-16.5167,-151.75,27.75,79,100,7.05,PF,1682168378
177,bacolod,10.6667,122.95,27.76,76,20,4.37,PH,1682168410
178,shingu,33.7333,135.9833,10.06,60,6,3.48,JP,1682168581
179,pangai,-19.8,-174.35,25.16,63,5,4.87,TO,1682168582
180,sokur,55.2093,83.319,9.2,64,0,2.85,RU,1682168583
181,karratha,-20.7377,116.8463,26.98,61,93,3.52,AU,1682168473
182,tiksi,71.6872,128.8694,-16.77,97,21,2.41,RU,1682168584
183,vestmannaeyjar,63.4427,-20.2734,4.55,75,75,7.2,IS,1682168585
184,hambantota,6.1241,81.1185,26.19,100,40,2.57,LK,1682168362
185,upernavik,72.7868,-56.1549,-0.89,97,100,5.12,GL,1682168586
186,laguna,38.421,-121.4238,15.98,71,0,4.12,US,1682168586
187,katsuura,35.1333,140.3,14.34,54,94,6.96,JP,1682168588
188,saskylakh,71.9167,114.0833,-13.9,98,93,2.58,RU,1682168588
189,hare bay,48.8499,-54.0148,1.64,97,100,6.15,CA,1682168589
190,pevek,69.7008,170.3133,-10.7,85,17,1.8,RU,1682168589
191,sibolga,1.7427,98.7792,25.64,91,100,1.09,ID,1682168590
192,sinazongwe,-17.2614,27.4618,30.33,45,100,1.79,ZM,1682168590
193,kaeo,-35.1,173.7833,17.96,97,62,1.58,NZ,1682168591
194,marsh harbour,26.5412,-77.0636,23.52,71,100,4.93,BS,1682168591
195,marshall,34.3834,-86.3333,12.17,90,75,2.24,US,1682168592
196,sambalpur,21.45,83.9667,27.34,44,100,7.48,IN,1682168494
197,gavrilov posad,56.5597,40.1175,13.98,36,80,3.35,RU,1682168593
198,huambo,-12.7761,15.7392,18.21,83,93,0.9,AO,1682168593
199,boali,4.8005,18.1275,31.42,50,86,3.37,CF,1682168594
200,goderich,43.7501,-81.7165,7.17,95,100,4.52,CA,1682168594
201,proletariy,58.4342,31.7046,13.12,54,97,1.6,RU,1682168595
202,kondratovo,57.9804,56.1066,15.16,36,40,3.0,RU,1682168595
203,belmonte,-15.8631,-38.8828,25.64,86,59,5.19,BR,1682168596
204,christchurch,-43.5333,172.6333,14.39,90,100,4.12,NZ,1682168475
205,miri,4.4148,114.0089,27.27,83,100,2.64,MY,1682168422
206,grants,35.1473,-107.8514,-0.87,51,0,3.09,US,1682168597
207,senneterre,48.3835,-77.2328,2.54,100,100,1.79,CA,1682168598
208,adjumani,3.3779,31.7909,31.55,44,100,2.94,UG,1682168598
209,kodiak,57.79,-152.4072,2.8,77,0,2.98,US,1682168600
210,kriva palanka,42.2019,22.3319,15.95,47,86,2.38,MK,1682168600
211,gunnedah,-30.9833,150.25,13.6,83,0,2.38,AU,1682168601
212,banda aceh,5.5577,95.3222,28.08,79,86,2.3,ID,1682168601
213,inhambane,-23.865,35.3833,27.32,64,24,2.05,MZ,1682168603
214,sao filipe,14.8961,-24.4956,23.54,70,5,3.78,CV,1682168603
215,kyshtovka,56.555,76.6271,7.2,64,100,4.41,RU,1682168604
216,ribeira grande,38.5167,-28.7,17.22,94,75,6.69,PT,1682168605
217,yellowknife,62.456,-114.3525,2.29,64,75,1.54,CA,1682168312
218,carnarvon,-24.8667,113.6333,24.6,53,0,4.32,AU,1682168496
219,fort nelson,58.8053,-122.7002,-0.28,90,99,0.91,CA,1682168607
220,havoysund,70.9963,24.6622,-2.87,59,100,10.92,NO,1682168607
221,srednekolymsk,67.45,153.6833,-6.55,99,94,2.11,RU,1682168608
222,yumen,40.2833,97.2,5.16,74,99,7.93,CN,1682168608
223,lumeje,-11.55,20.7833,26.45,60,90,1.53,AO,1682168609
224,los llanos de aridane,28.6585,-17.9182,20.86,75,75,3.6,ES,1682168610
225,bundaberg,-24.85,152.35,19.56,87,79,1.34,AU,1682168331
226,ulladulla,-35.35,150.4667,15.0,92,2,1.87,AU,1682168437
227,arraial do cabo,-22.9661,-42.0278,26.92,57,40,3.6,BR,1682168612
228,geraldton,-28.7667,114.6,18.23,72,0,3.09,AU,1682168461
229,bengkulu,-3.8004,102.2655,26.79,82,100,1.83,ID,1682168450
230,buala,-8.145,159.5921,27.36,81,16,2.88,SB,1682168614
231,mahebourg,-20.4081,57.7,28.16,74,40,2.57,MU,1682168614
232,vostok,46.4856,135.8833,-1.26,87,98,2.08,RU,1682168615
233,saint george,37.1041,-113.5841,14.33,53,0,2.57,US,1682168615
234,marawi,7.9986,124.2928,21.58,92,90,0.51,PH,1682168616
235,ouallam,14.3188,2.0866,41.35,7,26,3.57,NE,1682168616
236,saldanha,-33.0117,17.9442,15.09,76,100,8.76,ZA,1682168618
237,aykhal,66.0,111.5,-7.12,91,100,5.27,RU,1682168618
238,sovetskiy,61.3614,63.5842,2.51,96,76,2.01,RU,1682168619
239,kano,12.0001,8.5167,40.42,12,100,0.15,NG,1682168619
240,laredo,27.5064,-99.5075,21.14,88,75,4.12,US,1682168620
241,voh,-20.9667,164.7,23.45,92,6,1.79,NC,1682168620
242,bongandanga,1.5,21.05,21.72,99,100,1.95,CD,1682168621
243,grindavik,63.8424,-22.4338,4.26,100,100,3.6,IS,1682168621
244,berlevag,70.8578,29.0864,-3.0,80,75,9.26,NO,1682168622
245,kulu,39.0951,33.0799,15.85,35,100,1.59,TR,1682168622
246,la palma,33.8464,-118.0467,20.06,84,0,0.0,US,1682168623
247,trat,12.5,102.5,28.24,80,4,2.14,TH,1682168535
248,egvekinot,66.3167,-179.1667,-9.61,83,93,4.04,RU,1682168624
249,bac lieu,9.285,105.7244,29.23,72,74,4.49,VN,1682168334
250,north platte,41.1239,-100.7654,-1.6,77,0,5.36,US,1682168580
251,gladstone,-23.85,151.25,21.96,60,31,5.14,AU,1682168504
252,cabo san lucas,22.8909,-109.9124,21.95,46,100,0.45,MX,1682168626
253,san policarpo,12.1791,125.5072,27.36,81,23,2.79,PH,1682168627
254,sabha,27.0377,14.4283,35.45,7,2,4.54,LY,1682168627
255,bud,39.447,-86.1758,8.97,75,67,4.16,US,1682168628
256,narsaq,60.9167,-46.05,7.12,59,8,0.96,GL,1682168628
257,norman wells,65.282,-126.8329,-3.98,93,75,0.0,CA,1682168629
258,khani,41.9563,42.9566,16.76,58,77,3.14,GE,1682168629
259,san patricio,28.017,-97.5169,23.92,85,0,2.7,US,1682168630
260,raudeberg,61.9875,5.1352,14.37,77,0,11.88,NO,1682168631
261,kloulklubed,7.0419,134.2556,28.28,78,100,4.67,PW,1682168631
262,kibala,9.1104,18.3463,40.22,22,80,1.51,TD,1682168632
263,bonavista,48.6499,-53.1147,1.14,98,100,10.41,CA,1682168632
264,okhotsk,59.3833,143.3,-0.2,85,100,4.16,RU,1682168633
265,iskateley,67.6803,53.1512,-0.95,97,100,8.02,RU,1682168633
266,damietta,31.4165,31.8133,20.2,56,10,5.41,EG,1682168634
267,sao jose da coroa grande,-8.8978,-35.1478,28.63,61,100,4.87,BR,1682168634
268,immokalee,26.4187,-81.4173,25.97,80,100,1.87,US,1682168635
269,rio gallegos,-51.6226,-69.2181,5.96,53,100,4.49,AR,1682168635
270,dingle,10.9995,122.6711,26.78,80,9,3.12,PH,1682168636
271,gat,31.61,34.7642,26.33,100,8,6.31,IL,1682168637
272,kudat,6.8837,116.8477,27.89,79,36,5.5,MY,1682168638
273,mayumba,-3.432,10.6554,27.43,80,100,3.36,GA,1682168638
274,whitehorse,60.7161,-135.0538,-3.16,79,71,0.89,CA,1682168639
275,zhigansk,66.7697,123.3711,-11.42,91,71,3.03,RU,1682168640
276,ihosy,-22.4,46.1167,27.57,46,40,2.48,MG,1682168640
277,dickinson,29.4608,-95.0513,19.99,66,0,6.17,US,1682168641
278,wajir,1.7471,40.0573,32.48,48,100,5.98,KE,1682168641
279,upata,8.0086,-62.3989,24.55,71,97,2.9,VE,1682168642
280,touros,-5.1989,-35.4608,29.46,58,32,7.76,BR,1682168643
281,chernelytsya,48.8121,25.4248,14.43,50,98,2.52,UA,1682168644
282,chuy,-33.6971,-53.4616,19.52,64,100,1.65,UY,1682168644
283,leningradskiy,69.3833,178.4167,-3.32,90,99,6.67,RU,1682168645
284,hovd,48.0056,91.6419,3.65,22,100,1.42,MN,1682168646
285,marsa matruh,31.3525,27.2453,20.61,55,100,6.67,EG,1682168648
286,yar-sale,66.8333,70.8333,0.46,100,100,4.24,RU,1682168651
287,yarmouth,41.7057,-70.2286,11.65,72,100,4.12,US,1682168652
288,nueve de julio,-35.4444,-60.8831,16.09,66,0,4.02,AR,1682168652
289,port blair,11.6667,92.75,29.14,69,0,2.54,IN,1682168653
290,sao felix do xingu,-6.6447,-51.995,28.36,74,100,1.32,BR,1682168653
291,mangrol,21.1167,70.1167,28.04,68,1,8.92,IN,1682168654
292,renqiu,38.6989,116.0936,8.26,73,100,2.62,CN,1682168654
293,opuwo,-18.0607,13.84,28.73,34,44,2.99,NA,1682168414
294,dongsheng,39.8161,109.9776,10.04,41,100,4.71,CN,1682168655
295,auki,-8.7676,160.7034,25.74,87,8,1.94,SB,1682168656
296,tomatlan,19.9333,-105.25,19.19,65,95,0.45,MX,1682168656
297,salta,-24.7859,-65.4117,16.43,91,48,0.89,AR,1682168657
298,san martin,-33.081,-68.4681,17.67,43,27,3.94,AR,1682168658
299,yazd,31.8972,54.3675,28.16,17,33,2.31,IR,1682168658
300,adrar,20.5022,-10.0711,30.21,14,99,5.07,MR,1682168658
